,Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
0,Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,2.0,90.0,571.479602,11828.0,10083.48688
1,Four-Door Car,Basic,Offer1,Employed,Married,College,6.0,62.0,114.51444,44762.0,4943.386117
2,Two-Door Car,Basic,Offer1,Retired,Married,Master,2.0,62.0,257.248789,21514.0,11981.98481
3,Four-Door Car,Premium,Offer3,Disabled,Married,High School or Below,1.0,116.0,556.8,17913.0,4550.856045
4,Two-Door Car,Basic,Offer3,Medical Leave,Married,High School or Below,1.0,62.0,355.820799,19030.0,2372.155492
5,SUV,Basic,Offer2,Employed,Married,Bachelor,8.0,107.0,85.063708,94389.0,8649.700578
6,Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,2.0,101.0,584.567645,25419.0,12052.98409
7,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,66.0,144.987956,26477.0,2621.116054
8,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,5.0,65.0,264.563772,36615.0,5243.828046
9,Four-Door Car,Premium,Offer3,Employed,Divorced,College,3.0,117.0,582.781896,59624.0,9156.322563
10,Four-Door Car,Extended,Offer1,Employed,Married,Master,5.0,78.0,39.781368,37813.0,6259.510365
11,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,2.0,66.0,227.44626,35624.0,19237.77089
12,Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,1.0,63.0,347.857619,24910.0,2248.449633
13,Two-Door Car,Basic,Offer2,Employed,Divorced,Master,3.0,70.0,239.328571,62739.0,5581.761298
14,Four-Door Car,Basic,Offer2,Retired,Divorced,Bachelor,1.0,71.0,340.8,18608.0,2538.62632
15,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,61.0,439.2,46210.0,2402.333284
16,Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,7.0,64.0,307.2,0.0,4774.751709
17,SUV,Extended,Offer1,Unemployed,Single,College,1.0,129.0,1178.950186,0.0,4711.845199
18,SUV,Basic,Offer4,Disabled,Married,High School or Below,1.0,100.0,480.0,15192.0,3832.118106
19,Four-Door Car,Basic,Offer2,Employed,Married,Doctor,1.0,70.0,350.65008,50397.0,2813.50617
20,Four-Door Car,Basic,Offer3,Employed,Married,Doctor,1.0,68.0,51.961915,82210.0,2687.314108
21,SUV,Extended,Offer4,Unemployed,Single,Bachelor,1.0,126.0,907.2,0.0,4531.675269
22,Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,64.0,423.787608,22538.0,2554.033928
23,Four-Door Car,Basic,Offer2,Employed,Single,College,4.0,71.0,234.683628,31614.0,5420.361822
24,Two-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,5.0,95.0,456.0,0.0,6846.150323
25,SUV,Extended,Offer3,Employed,Married,College,3.0,128.0,614.4,78358.0,10307.65258
26,Four-Door Car,Basic,Offer4,Unemployed,Single,Bachelor,1.0,66.0,475.2,0.0,2239.647297
27,Four-Door Car,Extended,Offer1,Employed,Married,College,6.0,84.0,286.781601,36510.0,6721.893743
28,Sports Car,Extended,Offer1,Employed,Married,High School or Below,1.0,125.0,788.206874,51962.0,4804.35851
29,SUV,Extended,Offer1,Employed,Married,College,2.0,125.0,600.0,45345.0,14696.63549
30,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,8.0,68.0,265.877583,62039.0,5396.311664
31,SUV,Basic,Offer1,Employed,Married,Bachelor,2.0,107.0,513.6,66550.0,25674.14895
32,Two-Door Car,Extended,Offer1,Employed,Married,College,8.0,98.0,196.37368,71134.0,7708.883885
33,Four-Door Car,Basic,Offer2,Disabled,Divorced,High School or Below,2.0,65.0,312.0,26721.0,6747.524275
34,Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,7.0,97.0,335.840529,66726.0,7661.388132
35,SUV,Extended,Offer1,Employed,Divorced,High School or Below,3.0,121.0,580.8,40672.0,9559.340024
36,Luxury SUV,Basic,Offer2,Unemployed,Single,High School or Below,1.0,192.0,1921.248929,0.0,6745.248379
37,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,69.0,331.2,44685.0,24723.18311
38,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,71.0,389.636991,78804.0,25763.41423
39,Two-Door Car,Extended,Offer3,Employed,Married,Master,7.0,83.0,229.620398,23616.0,6610.048274
40,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,72.0,159.266473,38667.0,2787.423683
41,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,68.0,291.91645,59961.0,2640.58732
42,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,67.0,321.6,57117.0,2656.99458
43,SUV,Basic,Offer1,Unemployed,Married,College,1.0,103.0,685.227276,0.0,3771.617797
44,Four-Door Car,Basic,Offer1,Unemployed,Divorced,High School or Below,1.0,74.0,355.2,0.0,2502.209885
45,Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,103.0,616.005527,25221.0,3818.468252
46,Four-Door Car,Extended,Offer2,Employed,Divorced,Bachelor,2.0,89.0,395.729716,33806.0,27789.69235
47,Two-Door Car,Basic,Offer3,Employed,Married,College,1.0,63.0,302.4,46051.0,2489.337928
48,Two-Door Car,Extended,Offer2,Employed,Divorced,Master,1.0,86.0,287.5426,42526.0,3417.204953
49,SUV,Basic,Offer3,Employed,Married,Bachelor,7.0,110.0,528.0,43963.0,8673.587
50,SUV,Extended,Offer1,Employed,Divorced,College,1.0,124.0,282.500791,52819.0,4880.713626
51,Two-Door Car,Extended,Offer4,Employed,Single,Master,2.0,90.0,135.892444,50450.0,10640.93932
52,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,66.0,316.8,51972.0,7814.604545
53,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,4.0,73.0,525.6,0.0,5510.558964
54,SUV,Extended,Offer1,Unemployed,Single,College,2.0,126.0,604.8,0.0,13727.79972
55,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,65.0,312.0,72421.0,2592.437797
56,Luxury Car,Basic,Offer1,Employed,Married,Bachelor,8.0,191.0,981.010879,38183.0,15277.47796
57,Sports Car,Extended,Offer1,Unemployed,Single,Master,9.0,122.0,650.52179,0.0,9031.214859
58,Sports Car,Basic,Offer1,Medical Leave,Married,Bachelor,1.0,100.0,668.29397,20325.0,3803.921781
59,Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,1.0,83.0,349.954886,51032.0,3339.853704
60,Four-Door Car,Basic,Offer4,Medical Leave,Married,College,1.0,72.0,345.6,20567.0,2449.128459
61,Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,69.0,331.2,23671.0,8060.161694
62,SUV,Extended,Offer3,Employed,Divorced,High School or Below,2.0,133.0,638.4,45302.0,16007.94954
63,SUV,Basic,Offer1,Disabled,Married,College,2.0,100.0,480.0,21102.0,11714.78278
64,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6.0,71.0,340.8,53565.0,5569.456156
65,SUV,Premium,Offer1,Unemployed,Single,College,2.0,165.0,1452.213743,0.0,16350.13061
66,SUV,Extended,Offer3,Employed,Married,Bachelor,2.0,127.0,609.6,59797.0,15261.41386
67,Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1.0,66.0,93.128128,47509.0,2588.080213
68,Four-Door Car,Basic,Offer2,Disabled,Married,Master,1.0,62.0,297.6,22239.0,2404.633766
69,Four-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,3.0,61.0,292.8,14665.0,4558.428807
70,Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,64.0,268.471802,64801.0,7582.113842
71,SUV,Basic,Offer1,Employed,Married,High School or Below,3.0,101.0,624.023564,44986.0,8041.20055
72,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,62.0,245.447622,43817.0,12302.76244
73,Four-Door Car,Extended,Offer1,Unemployed,Divorced,Master,1.0,95.0,476.903351,0.0,3370.074728
74,Four-Door Car,Basic,Offer3,Unemployed,Married,Doctor,1.0,62.0,624.711448,0.0,2326.864833
75,Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,74.0,355.2,36845.0,2903.024168
76,Sports Car,Premium,Offer3,Employed,Single,High School or Below,2.0,144.0,820.431905,49259.0,44520.13577
77,SUV,Extended,Offer1,Employed,Single,Bachelor,2.0,128.0,614.4,26486.0,14754.35923
78,SUV,Basic,Offer1,Employed,Married,High School or Below,3.0,114.0,547.2,56446.0,9118.148093
79,SUV,Premium,Offer4,Employed,Married,Doctor,1.0,194.0,469.257835,67787.0,7751.927614
80,Luxury SUV,Basic,Offer2,Employed,Married,Bachelor,3.0,194.0,1067.291208,89464.0,15415.04407
81,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,64.0,307.2,22475.0,2513.117202
82,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3.0,70.0,416.2618,31972.0,5580.916514
83,SUV,Basic,Offer1,Employed,Married,College,1.0,118.0,566.4,58089.0,4686.469674
84,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1.0,66.0,316.8,41990.0,2626.279436
85,Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,2.0,63.0,40.622304,0.0,6961.945557
86,SUV,Basic,Offer1,Employed,Married,College,1.0,111.0,497.126827,84903.0,4475.424592
87,SUV,Basic,Offer2,Employed,Married,Bachelor,6.0,111.0,314.880326,67137.0,8176.576796
88,Sports Car,Extended,Offer1,Employed,Married,Bachelor,4.0,138.0,938.513425,21450.0,10937.1785
89,Sports Car,Basic,Offer2,Employed,Married,High School or Below,1.0,119.0,307.639408,99874.0,4807.846463
90,Four-Door Car,Basic,Offer1,Disabled,Single,High School or Below,1.0,67.0,482.4,26100.0,2482.411991
91,Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,3.0,66.0,316.8,31275.0,5205.748188
92,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,6.0,67.0,29.984815,71186.0,5399.57618
93,Two-Door Car,Basic,Offer2,Employed,Married,College,2.0,73.0,290.70096,91580.0,8870.673845
94,Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1.0,73.0,30.874869,69417.0,2842.266905
